vgs	Id(M1)
0.000000000000000e+00	2.686430e-11
1.000000000000000e-03	2.755906e-11
2.000000000000000e-03	2.827306e-11
3.000000000000000e-03	2.900683e-11
4.000000000000000e-03	2.976092e-11
5.000000000000000e-03	3.053589e-11
6.000000000000000e-03	3.133231e-11
7.000000000000000e-03	3.215079e-11
8.000000000000000e-03	3.299192e-11
9.000000000000001e-03	3.385634e-11
1.000000000000000e-02	3.474469e-11
1.100000000000000e-02	3.565763e-11
1.200000000000000e-02	3.659583e-11
1.300000000000000e-02	3.756000e-11
1.400000000000001e-02	3.855086e-11
1.500000000000001e-02	3.956913e-11
1.600000000000001e-02	4.061558e-11
1.700000000000001e-02	4.169098e-11
1.800000000000001e-02	4.279614e-11
1.900000000000001e-02	4.393188e-11
2.000000000000001e-02	4.509903e-11
2.100000000000001e-02	4.629846e-11
2.200000000000001e-02	4.753107e-11
2.300000000000001e-02	4.879778e-11
2.400000000000001e-02	5.009951e-11
2.500000000000002e-02	5.143725e-11
2.600000000000002e-02	5.281197e-11
2.700000000000002e-02	5.422471e-11
2.800000000000002e-02	5.567651e-11
2.900000000000002e-02	5.716844e-11
3.000000000000002e-02	5.870161e-11
3.100000000000002e-02	6.027717e-11
3.200000000000002e-02	6.189627e-11
3.300000000000002e-02	6.356012e-11
3.400000000000002e-02	6.526994e-11
3.500000000000002e-02	6.702702e-11
3.600000000000003e-02	6.883264e-11
3.700000000000003e-02	7.068815e-11
3.800000000000003e-02	7.259492e-11
3.900000000000003e-02	7.455436e-11
4.000000000000003e-02	7.656792e-11
4.100000000000003e-02	7.863709e-11
4.200000000000003e-02	8.076340e-11
4.300000000000003e-02	8.294843e-11
4.400000000000003e-02	8.519380e-11
4.500000000000003e-02	8.750115e-11
4.600000000000003e-02	8.987219e-11
4.700000000000003e-02	9.230869e-11
4.800000000000004e-02	9.481243e-11
4.900000000000004e-02	9.738527e-11
5.000000000000004e-02	1.000291e-10
5.100000000000004e-02	1.027459e-10
5.200000000000004e-02	1.055376e-10
5.300000000000004e-02	1.084064e-10
5.400000000000004e-02	1.113543e-10
5.500000000000004e-02	1.143835e-10
5.600000000000004e-02	1.174962e-10
5.700000000000004e-02	1.206947e-10
5.800000000000004e-02	1.239815e-10
5.900000000000005e-02	1.273588e-10
6.000000000000005e-02	1.308293e-10
6.100000000000005e-02	1.343954e-10
6.200000000000005e-02	1.380598e-10
6.300000000000004e-02	1.418251e-10
6.400000000000004e-02	1.456942e-10
6.500000000000004e-02	1.496699e-10
6.600000000000004e-02	1.537551e-10
6.700000000000005e-02	1.579529e-10
6.800000000000005e-02	1.622662e-10
6.900000000000005e-02	1.666983e-10
7.000000000000005e-02	1.712524e-10
7.100000000000005e-02	1.759318e-10
7.200000000000005e-02	1.807401e-10
7.300000000000005e-02	1.856807e-10
7.400000000000005e-02	1.907572e-10
7.500000000000005e-02	1.959735e-10
7.600000000000005e-02	2.013332e-10
7.700000000000005e-02	2.068403e-10
7.800000000000006e-02	2.124989e-10
7.900000000000006e-02	2.183130e-10
8.000000000000006e-02	2.242871e-10
8.100000000000006e-02	2.304253e-10
8.200000000000006e-02	2.367323e-10
8.300000000000006e-02	2.432125e-10
8.400000000000006e-02	2.498708e-10
8.500000000000006e-02	2.567121e-10
8.600000000000006e-02	2.637413e-10
8.700000000000006e-02	2.709634e-10
8.800000000000006e-02	2.783840e-10
8.900000000000007e-02	2.860082e-10
9.000000000000007e-02	2.938417e-10
9.100000000000007e-02	3.018902e-10
9.200000000000007e-02	3.101596e-10
9.300000000000007e-02	3.186558e-10
9.400000000000007e-02	3.273851e-10
9.500000000000007e-02	3.363538e-10
9.600000000000007e-02	3.455684e-10
9.700000000000007e-02	3.550357e-10
9.800000000000007e-02	3.647624e-10
9.900000000000007e-02	3.747557e-10
1.000000000000001e-01	3.850228e-10
1.010000000000001e-01	3.955712e-10
1.020000000000001e-01	4.064086e-10
1.030000000000001e-01	4.175426e-10
1.040000000000001e-01	4.289816e-10
1.050000000000001e-01	4.407336e-10
1.060000000000001e-01	4.528073e-10
1.070000000000001e-01	4.652113e-10
1.080000000000001e-01	4.779546e-10
1.090000000000001e-01	4.910465e-10
1.100000000000001e-01	5.044964e-10
1.110000000000001e-01	5.183139e-10
1.120000000000001e-01	5.325092e-10
1.130000000000001e-01	5.470923e-10
1.140000000000001e-01	5.620738e-10
1.150000000000001e-01	5.774646e-10
1.160000000000001e-01	5.932756e-10
1.170000000000001e-01	6.095183e-10
1.180000000000001e-01	6.262043e-10
1.190000000000001e-01	6.433456e-10
1.200000000000001e-01	6.609546e-10
1.210000000000001e-01	6.790438e-10
1.220000000000001e-01	6.976263e-10
1.230000000000001e-01	7.167154e-10
1.240000000000001e-01	7.363247e-10
1.250000000000001e-01	7.564683e-10
1.260000000000001e-01	7.771606e-10
1.270000000000001e-01	7.984164e-10
1.280000000000001e-01	8.202509e-10
1.290000000000001e-01	8.426797e-10
1.300000000000001e-01	8.657187e-10
1.310000000000001e-01	8.893845e-10
1.320000000000001e-01	9.136939e-10
1.330000000000001e-01	9.386641e-10
1.340000000000001e-01	9.643131e-10
1.350000000000001e-01	9.906589e-10
1.360000000000001e-01	1.017720e-09
1.370000000000001e-01	1.045517e-09
1.380000000000001e-01	1.074068e-09
1.390000000000001e-01	1.103393e-09
1.400000000000001e-01	1.133515e-09
1.410000000000001e-01	1.164453e-09
1.420000000000001e-01	1.196230e-09
1.430000000000001e-01	1.228869e-09
1.440000000000001e-01	1.262391e-09
1.450000000000001e-01	1.296822e-09
1.460000000000001e-01	1.332185e-09
1.470000000000001e-01	1.368506e-09
1.480000000000001e-01	1.405809e-09
1.490000000000001e-01	1.444121e-09
1.500000000000001e-01	1.483469e-09
1.510000000000001e-01	1.523881e-09
1.520000000000001e-01	1.565384e-09
1.530000000000001e-01	1.608009e-09
1.540000000000001e-01	1.651785e-09
1.550000000000001e-01	1.696742e-09
1.560000000000001e-01	1.742913e-09
1.570000000000001e-01	1.790328e-09
1.580000000000001e-01	1.839022e-09
1.590000000000001e-01	1.889029e-09
1.600000000000001e-01	1.940382e-09
1.610000000000001e-01	1.993119e-09
1.620000000000001e-01	2.047275e-09
1.630000000000001e-01	2.102888e-09
1.640000000000001e-01	2.159998e-09
1.650000000000001e-01	2.218642e-09
1.660000000000001e-01	2.278863e-09
1.670000000000001e-01	2.340701e-09
1.680000000000001e-01	2.404201e-09
1.690000000000001e-01	2.469404e-09
1.700000000000001e-01	2.536357e-09
1.710000000000001e-01	2.605105e-09
1.720000000000001e-01	2.675696e-09
1.730000000000001e-01	2.748178e-09
1.740000000000001e-01	2.822602e-09
1.750000000000001e-01	2.899018e-09
1.760000000000001e-01	2.977478e-09
1.770000000000001e-01	3.058037e-09
1.780000000000001e-01	3.140750e-09
1.790000000000001e-01	3.225672e-09
1.800000000000001e-01	3.312862e-09
1.810000000000001e-01	3.402380e-09
1.820000000000001e-01	3.494286e-09
1.830000000000001e-01	3.588643e-09
1.840000000000001e-01	3.685514e-09
1.850000000000001e-01	3.784967e-09
1.860000000000001e-01	3.887067e-09
1.870000000000001e-01	3.991885e-09
1.880000000000001e-01	4.099490e-09
1.890000000000001e-01	4.209956e-09
1.900000000000001e-01	4.323358e-09
1.910000000000001e-01	4.439770e-09
1.920000000000001e-01	4.559273e-09
1.930000000000001e-01	4.681945e-09
1.940000000000001e-01	4.807871e-09
1.950000000000001e-01	4.937132e-09
1.960000000000001e-01	5.069817e-09
1.970000000000001e-01	5.206014e-09
1.980000000000001e-01	5.345814e-09
1.990000000000001e-01	5.489309e-09
2.000000000000001e-01	5.636596e-09
2.010000000000002e-01	5.787772e-09
2.020000000000002e-01	5.942939e-09
2.030000000000002e-01	6.102197e-09
2.040000000000002e-01	6.265653e-09
2.050000000000002e-01	6.433416e-09
2.060000000000002e-01	6.605595e-09
2.070000000000002e-01	6.782304e-09
2.080000000000002e-01	6.963659e-09
2.090000000000002e-01	7.149780e-09
2.100000000000002e-01	7.340789e-09
2.110000000000002e-01	7.536811e-09
