Freq.	V(out)
2.75422870333815e+01	(7.83556391187991e+01dB,-9.26738838531899e-01°)
2.81838293126444e+01	(7.83555855953190e+01dB,-9.48322725761819e-01°)
2.88403150312659e+01	(7.83555295500620e+01dB,-9.70409059065280e-01°)
2.95120922666637e+01	(7.83554708642486e+01dB,-9.93009522656646e-01°)
3.01995172040200e+01	(7.83554094135080e+01dB,-1.01613607147257e+00°)
3.09029543251358e+01	(7.83553450676150e+01dB,-1.03980093737657e+00°)
3.16227766016837e+01	(7.83552776902154e+01dB,-1.06401663550094e+00°)
3.23593656929627e+01	(7.83552071385371e+01dB,-1.08879597072850e+00°)
3.31131121482590e+01	(7.83551332630890e+01dB,-1.11415204431707e+00°)
3.38844156139201e+01	(7.83550559073452e+01dB,-1.14009826066927e+00°)
3.46736850452530e+01	(7.83549749074142e+01dB,-1.16664833425048e+00°)
3.54813389233574e+01	(7.83548900916933e+01dB,-1.19381629665767e+00°)
3.63078054770100e+01	(7.83548012805059e+01dB,-1.22161650384192e+00°)
3.71535229097171e+01	(7.83547082857227e+01dB,-1.25006364348740e+00°)
3.80189396320559e+01	(7.83546109103646e+01dB,-1.27917274254966e+00°)
3.89045144994279e+01	(7.83545089481873e+01dB,-1.30895917495604e+00°)
3.98107170553495e+01	(7.83544021832462e+01dB,-1.33943866947092e+00°)
4.07380277804111e+01	(7.83542903894416e+01dB,-1.37062731772880e+00°)
4.16869383470333e+01	(7.83541733300415e+01dB,-1.40254158243783e+00°)
4.26579518801591e+01	(7.83540507571835e+01dB,-1.43519830575676e+00°)
4.36515832240164e+01	(7.83539224113525e+01dB,-1.46861471784794e+00°)
4.46683592150961e+01	(7.83537880208339e+01dB,-1.50280844560915e+00°)
4.57088189614873e+01	(7.83536473011425e+01dB,-1.53779752158715e+00°)
4.67735141287196e+01	(7.83534999544231e+01dB,-1.57360039307530e+00°)
4.78630092322636e+01	(7.83533456688247e+01dB,-1.61023593139823e+00°)
4.89778819368444e+01	(7.83531841178445e+01dB,-1.64772344138594e+00°)
5.01187233627270e+01	(7.83530149596419e+01dB,-1.68608267103979e+00°)
5.12861383991362e+01	(7.83528378363204e+01dB,-1.72533382139311e+00°)
5.24807460249770e+01	(7.83526523731760e+01dB,-1.76549755656835e+00°)
5.37031796370250e+01	(7.83524581779114e+01dB,-1.80659501403348e+00°)
5.49540873857622e+01	(7.83522548398124e+01dB,-1.84864781505936e+00°)
5.62341325190346e+01	(7.83520419288875e+01dB,-1.89167807538044e+00°)
5.75439937337154e+01	(7.83518189949667e+01dB,-1.93570841606042e+00°)
5.88843655355586e+01	(7.83515855667586e+01dB,-1.98076197456473e+00°)
6.02559586074355e+01	(7.83513411508646e+01dB,-2.02686241604126e+00°)
6.16595001861479e+01	(7.83510852307467e+01dB,-2.07403394481084e+00°)
6.30957344480190e+01	(7.83508172656479e+01dB,-2.12230131606843e+00°)
6.45654229034652e+01	(7.83505366894630e+01dB,-2.17168984779602e+00°)
6.60693448007593e+01	(7.83502429095566e+01dB,-2.22222543288787e+00°)
6.76082975391978e+01	(7.83499353055282e+01dB,-2.27393455148845e+00°)
6.91830970918933e+01	(7.83496132279183e+01dB,-2.32684428354301e+00°)
7.07945784384134e+01	(7.83492759968570e+01dB,-2.38098232156070e+00°)
7.24435960074986e+01	(7.83489229006495e+01dB,-2.43637698358931e+00°)
7.41310241300914e+01	(7.83485531942972e+01dB,-2.49305722640077e+00°)
7.58577575029180e+01	(7.83481660979505e+01dB,-2.55105265888575e+00°)
7.76247116628688e+01	(7.83477607952917e+01dB,-2.61039355565536e+00°)
7.94328234724277e+01	(7.83473364318438e+01dB,-2.67111087084761e+00°)
8.12830516164095e+01	(7.83468921132016e+01dB,-2.73323625213520e+00°)
8.31763771102667e+01	(7.83464269031833e+01dB,-2.79680205493130e+00°)
8.51138038202372e+01	(7.83459398218970e+01dB,-2.86184135678864e+00°)
8.70963589956076e+01	(7.83454298437212e+01dB,-2.92838797198709e+00°)
8.91250938133741e+01	(7.83448958951916e+01dB,-2.99647646630366e+00°)
9.12010839355905e+01	(7.83443368527948e+01dB,-3.06614217195829e+00°)
9.33254300796986e+01	(7.83437515406607e+01dB,-3.13742120272784e+00°)
9.54992586021431e+01	(7.83431387281524e+01dB,-3.21035046921975e+00°)
9.77237220955805e+01	(7.83424971273468e+01dB,-3.28496769429556e+00°)
9.99999999999995e+01	(7.83418253904036e+01dB,-3.36131142863374e+00°)
1.02329299228075e+02	(7.83411221068159e+01dB,-3.43942106641977e+00°)
1.04712854805089e+02	(7.83403858005385e+01dB,-3.51933686115009e+00°)
1.07151930523760e+02	(7.83396149269895e+01dB,-3.60109994153546e+00°)
1.09647819614318e+02	(7.83388078699175e+01dB,-3.68475232748740e+00°)
1.12201845430196e+02	(7.83379629381324e+01dB,-3.77033694616988e+00°)
1.14815362149688e+02	(7.83370783620909e+01dB,-3.85789764809693e+00°)
1.17489755493952e+02	(7.83361522903327e+01dB,-3.94747922325457e+00°)
1.20226443461741e+02	(7.83351827857614e+01dB,-4.03912741722391e+00°)
1.23026877081237e+02	(7.83341678217633e+01dB,-4.13288894727982e+00°)
1.25892541179416e+02	(7.83331052781575e+01dB,-4.22881151843751e+00°)
1.28824955169313e+02	(7.83319929369717e+01dB,-4.32694383941691e+00°)
1.31825673855640e+02	(7.83308284780364e+01dB,-4.42733563849197e+00°)
1.34896288259165e+02	(7.83296094743908e+01dB,-4.53003767918965e+00°)
1.38038426460288e+02	(7.83283333874924e+01dB,-4.63510177579995e+00°)
1.41253754462275e+02	(7.83269975622248e+01dB,-4.74258080865565e+00°)
1.44543977074592e+02	(7.83255992216947e+01dB,-4.85252873913681e+00°)
1.47910838816820e+02	(7.83241354618116e+01dB,-4.96500062435167e+00°)
1.51356124843620e+02	(7.83226032456411e+01dB,-5.08005263144180e+00°)
1.54881661891247e+02	(7.83209993975263e+01dB,-5.19774205145543e+00°)
1.58489319246110e+02	(7.83193205969666e+01dB,-5.31812731272854e+00°)
1.62181009735892e+02	(7.83175633722479e+01dB,-5.44126799370892e+00°)
1.65958690743755e+02	(7.83157240938151e+01dB,-5.56722483515362e+00°)
1.69824365246173e+02	(7.83137989673790e+01dB,-5.69605975162517e+00°)
1.73780082874936e+02	(7.83117840267493e+01dB,-5.82783584220663e+00°)
1.77827941003891e+02	(7.83096751263854e+01dB,-5.96261740035002e+00°)
1.81970085860997e+02	(7.83074679336569e+01dB,-6.10046992276666e+00°)
1.86208713666286e+02	(7.83051579208058e+01dB,-6.24146011726173e+00°)
1.90546071796323e+02	(7.83027403566014e+01dB,-6.38565590940893e+00°)
1.94984459975803e+02	(7.83002102976823e+01dB,-6.53312644795405e+00°)
1.99526231496887e+02	(7.82975625795747e+01dB,-6.68394210882919e+00°)
2.04173794466952e+02	(7.82947918073821e+01dB,-6.83817449765167e+00°)
2.08929613085403e+02	(7.82918923461382e+01dB,-6.99589645057393e+00°)
2.13796208950222e+02	(7.82888583108163e+01dB,-7.15718203334218e+00°)
2.18776162394954e+02	(7.82856835559894e+01dB,-7.32210653841313e+00°)
2.23872113856832e+02	(7.82823616651350e+01dB,-7.49074647996919e+00°)
2.29086765276776e+02	(7.82788859395788e+01dB,-7.66317958666292e+00°)
2.34422881531991e+02	(7.82752493870751e+01dB,-7.83948479191222e+00°)
2.39883291901947e+02	(7.82714447100181e+01dB,-8.01974222155746e+00°)
2.45470891568501e+02	(7.82674642932825e+01dB,-8.20403317868158e+00°)
2.51188643150956e+02	(7.82633001916932e+01dB,-8.39244012538369e+00°)
2.57039578276885e+02	(7.82589441171212e+01dB,-8.58504666128558e+00°)
2.63026799189536e+02	(7.82543874252104e+01dB,-8.78193749853981e+00°)
2.69153480392690e+02	(7.82496211017348e+01dB,-8.98319843309656e+00°)
2.75422870333815e+02	(7.82446357485928e+01dB,-9.18891631197512e+00°)
2.81838293126443e+02	(7.82394215694443e+01dB,-9.39917899627432e+00°)
2.88403150312659e+02	(7.82339683549991e+01dB,-9.61407531964485e+00°)
2.95120922666637e+02	(7.82282654679675e+01dB,-9.83369504193491e+00°)
3.01995172040200e+02	(7.82223018276866e+01dB,-1.00581287977092e+01°)
3.09029543251357e+02	(7.82160658944388e+01dB,-1.02874680393302e+01°)
3.16227766016836e+02	(7.82095456534814e+01dB,-1.05218049742812e+01°)
3.23593656929626e+02	(7.82027285988100e+01dB,-1.07612324963969e+01°)
3.31131121482589e+02	(7.81956017166823e+01dB,-1.10058441106632e+01°)
3.38844156139200e+02	(7.81881514689313e+01dB,-1.12557338512334e+01°)
3.46736850452529e+02	(7.81803637761047e+01dB,-1.15109961923045e+01°)
3.54813389233573e+02	(7.81722240004657e+01dB,-1.17717259514884e+01°)
3.63078054770099e+02	(7.81637169289027e+01dB,-1.20380181853072e+01°)
3.71535229097170e+02	(7.81548267557939e+01dB,-1.23099680764410e+01°)
3.80189396320558e+02	(7.81455370658827e+01dB,-1.25876708123511e+01°)
3.89045144994278e+02	(7.81358308172237e+01dB,-1.28712214549037e+01°)
3.98107170553494e+02	(7.81256903242661e+01dB,-1.31607148006229e+01°)
4.07380277804110e+02	(7.81150972411466e+01dB,-1.34562452312061e+01°)
4.16869383470332e+02	(7.81040325452726e+01dB,-1.37579065539420e+01°)
4.26579518801589e+02	(7.80924765212829e+01dB,-1.40657918316890e+01°)
4.36515832240163e+02	(7.80804087454789e+01dB,-1.43799932020799e+01°)
4.46683592150960e+02	(7.80678080708302e+01dB,-1.47006016856475e+01°)
4.57088189614872e+02	(7.80546526126643e+01dB,-1.50277069825835e+01°)
4.67735141287195e+02	(7.80409197351580e+01dB,-1.53613972578776e+01°)
4.78630092322635e+02	(7.80265860387584e+01dB,-1.57017589146177e+01°)
4.89778819368442e+02	(7.80116273486681e+01dB,-1.60488763552737e+01°)
5.01187233627268e+02	(7.79960187045385e+01dB,-1.64028317308348e+01°)
5.12861383991361e+02	(7.79797343515219e+01dB,-1.67637046777271e+01°)
5.24807460249769e+02	(7.79627477328452e+01dB,-1.71315720424968e+01°)
5.37031796370249e+02	(7.79450314840706e+01dB,-1.75065075943170e+01°)
5.49540873857620e+02	(7.79265574292212e+01dB,-1.78885817254523e+01°)
5.62341325190345e+02	(7.79072965789537e+01dB,-1.82778611399006e+01°)
5.75439937337152e+02	(7.78872191309679e+01dB,-1.86744085305263e+01°)
5.88843655355584e+02	(7.78662944728479e+01dB,-1.90782822451021e+01°)
6.02559586074353e+02	(7.78444911875357e+01dB,-1.94895359417871e+01°)
6.16595001861477e+02	(7.78217770616411e+01dB,-1.99082182346896e+01°)
6.30957344480188e+02	(7.77981190967925e+01dB,-2.03343723302900e+01°)
6.45654229034650e+02	(7.77734835242378e+01dB,-2.07680356556385e+01°)
6.60693448007591e+02	(7.77478358228990e+01dB,-2.12092394793815e+01°)
6.76082975391976e+02	(7.77211407410856e+01dB,-2.16580085268269e+01°)
6.91830970918931e+02	(7.76933623220644e+01dB,-2.21143605904106e+01°)
7.07945784384132e+02	(7.76644639336756e+01dB,-2.25783061370924e+01°)
7.24435960074984e+02	(7.76344083021778e+01dB,-2.30498479143706e+01°)
7.41310241300911e+02	(7.76031575504895e+01dB,-2.35289805567778e+01°)
7.58577575029177e+02	(7.75706732409788e+01dB,-2.40156901948825e+01°)
7.76247116628685e+02	(7.75369164229370e+01dB,-2.45099540689924e+01°)
7.94328234724275e+02	(7.75018476848473e+01dB,-2.50117401499150e+01°)
8.12830516164092e+02	(7.74654272115340e+01dB,-2.55210067692868e+01°)
8.31763771102664e+02	(7.74276148462527e+01dB,-2.60377022621328e+01°)
8.51138038202369e+02	(7.73883701577447e+01dB,-2.65617646244469e+01°)
8.70963589956073e+02	(7.73476525122471e+01dB,-2.70931211887096e+01°)
8.91250938133738e+02	(7.73054211504093e+01dB,-2.76316883203556e+01°)
9.12010839355902e+02	(7.72616352690255e+01dB,-2.81773711382865e+01°)
9.33254300796983e+02	(7.72162541074477e+01dB,-2.87300632625773e+01°)
9.54992586021428e+02	(7.71692370384951e+01dB,-2.92896465925497e+01°)
9.77237220955802e+02	(7.71205436636288e+01dB,-2.98559911183837e+01°)
9.99999999999991e+02	(7.70701339121058e+01dB,-3.04289547693951e+01°)
1.02329299228075e+03	(7.70179681437781e+01dB,-3.10083833020315e+01°)
1.04712854805089e+03	(7.69640072551443e+01dB,-3.15941102305229e+01°)
1.07151930523760e+03	(7.69082127882136e+01dB,-3.21859568029630e+01°)
1.09647819614318e+03	(7.68505470416867e+01dB,-3.27837320253994e+01°)
1.12201845430195e+03	(7.67909731839091e+01dB,-3.33872327362644e+01°)
1.14815362149687e+03	(7.67294553670052e+01dB,-3.39962437331917e+01°)
1.17489755493952e+03	(7.66659588415554e+01dB,-3.46105379539344e+01°)
1.20226443461740e+03	(7.66004500711441e+01dB,-3.52298767127300e+01°)
1.23026877081237e+03	(7.65328968460653e+01dB,-3.58540099930465e+01°)
1.25892541179416e+03	(7.64632683954502e+01dB,-3.64826767972044e+01°)
1.28824955169312e+03	(7.63915354970578e+01dB,-3.71156055528937e+01°)
1.31825673855640e+03	(7.63176705839573e+01dB,-3.77525145761049e+01°)
1.34896288259164e+03	(7.62416478473253e+01dB,-3.83931125894814e+01°)
1.38038426460287e+03	(7.61634433345858e+01dB,-3.90370992945637e+01°)
1.41253754462274e+03	(7.60830350421347e+01dB,-3.96841659958704e+01°)
1.44543977074591e+03	(7.60004030019142e+01dB,-4.03339962742233e+01°)
1.47910838816819e+03	(7.59155293611320e+01dB,-4.09862667062119e+01°)
1.51356124843619e+03	(7.58283984544676e+01dB,-4.16406476261882e+01°)
1.54881661891247e+03	(7.57389968681541e+01dB,-4.22968039267192e+01°)
1.58489319246110e+03	(7.56473134953874e+01dB,-4.29543958929843e+01°)
1.62181009735891e+03	(7.55533395825815e+01dB,-4.36130800662227e+01°)
1.65958690743754e+03	(7.54570687660633e+01dB,-4.42725101309936e+01°)
1.69824365246173e+03	(7.53584970988804e+01dB,-4.49323378207338e+01°)
1.73780082874936e+03	(7.52576230674858e+01dB,-4.55922138358821e+01°)
1.77827941003891e+03	(7.51544475981463e+01dB,-4.62517887686865e+01°)
1.81970085860997e+03	(7.50489740530195e+01dB,-4.69107140287333e+01°)
1.86208713666285e+03	(7.49412082159340e+01dB,-4.75686427632268e+01°)
1.90546071796323e+03	(7.48311582679997e+01dB,-4.82252307661124e+01°)
1.94984459975803e+03	(7.47188347532673e+01dB,-4.88801373702672e+01°)
1.99526231496886e+03	(7.46042505347406e+01dB,-4.95330263171867e+01°)
2.04173794466951e+03	(7.44874207411304e+01dB,-5.01835665988573e+01°)
2.08929613085402e+03	(7.43683627048124e+01dB,-5.08314332668316e+01°)
2.13796208950221e+03	(7.42470958915243e+01dB,-5.14763082038991e+01°)
2.18776162394953e+03	(7.41236418223960e+01dB,-5.21178808541682e+01°)
2.23872113856832e+03	(7.39980239889636e+01dB,-5.27558489078376e+01°)
2.29086765276775e+03	(7.38702677618594e+01dB,-5.33899189374270e+01°)
2.34422881531990e+03	(7.37404002939070e+01dB,-5.40198069827515e+01°)
2.39883291901947e+03	(7.36084504183751e+01dB,-5.46452390824538e+01°)
2.45470891568501e+03	(7.34744485431599e+01dB,-5.52659517504376e+01°)
2.51188643150955e+03	(7.33384265416716e+01dB,-5.58816923960830e+01°)
2.57039578276884e+03	(7.32004176412001e+01dB,-5.64922196876388e+01°)
2.63026799189535e+03	(7.30604563095198e+01dB,-5.70973038586946e+01°)
2.69153480392689e+03	(7.29185781404796e+01dB,-5.76967269581147e+01°)
2.75422870333814e+03	(7.27748197392930e+01dB,-5.82902830442646e+01°)
2.81838293126442e+03	(7.26292186082136e+01dB,-5.88777783247812e+01°)
2.88403150312658e+03	(7.24818130332415e+01dB,-5.94590312435159e+01°)
2.95120922666635e+03	(7.23326419724640e+01dB,-6.00338725166209e+01°)
3.01995172040198e+03	(7.21817449465870e+01dB,-6.06021451200452e+01°)
3.09029543251356e+03	(7.20291619321629e+01dB,-6.11637042309631e+01°)
3.16227766016835e+03	(7.18749332579711e+01dB,-6.17184171258671e+01°)
3.23593656929625e+03	(7.17190995049535e+01dB,-6.22661630382289e+01°)
3.31131121482588e+03	(7.15617014100538e+01dB,-6.28068329787528e+01°)
3.38844156139199e+03	(7.14027797742575e+01dB,-6.33403295213391e+01°)
3.46736850452528e+03	(7.12423753750775e+01dB,-6.38665665579185e+01°)
3.54813389233572e+03	(7.10805288836810e+01dB,-6.43854690253342e+01°)
3.63078054770097e+03	(7.09172807868027e+01dB,-6.48969726074297e+01°)
